length_class,2_in,2.25_in,2.5_in,2.75_in,3_in,3.25_in,3.5_in,3.75_in,4_in,4.25_in,4.5_in,4.75_in,5_in
175,2,0,0,0,0,0,0,0,0,0,0,0,0
200,1,0,0,0,0,0,0,0,0,0,0,0,0
225,2,0,0,0,0,0,0,0,0,0,0,0,0
250,6,1,0,0,0,0,0,0,0,0,0,0,0
275,4,1,1,0,0,0,1,0,0,0,0,0,0
300,4,2,2,1,0,0,0,0,1,0,0,0,0
325,14,16,24,16,5,2,0,0,1,1,0,0,0
350,48,52,73,84,69,18,6,3,2,5,2,0,2
375,57,74,106,108,147,70,44,9,2,8,4,1,5
400,14,31,43,45,61,57,33,12,2,3,0,1,3
425,11,28,41,42,43,57,42,34,27,13,3,2,2
450,9,35,48,56,68,77,76,100,56,55,11,7,4
475,8,29,33,83,65,73,92,112,112,83,47,27,20
500,13,15,32,45,63,68,42,101,105,119,93,51,51
525,3,9,11,24,42,53,48,61,75,81,72,75,78
550,4,5,9,11,29,35,36,50,48,49,66,85,73
575,0,7,3,5,12,16,21,30,24,29,34,38,63
600,2,2,3,4,0,8,9,8,20,16,20,27,36
625,2,2,0,1,2,2,3,2,5,3,6,11,12
650,0,0,0,1,1,1,0,3,1,5,3,9,4
675,0,0,0,0,0,2,2,3,7,2,3,4,3
700,0,0,0,0,0,0,2,0,1,1,1,5,4
725,0,0,0,0,0,0,1,0,1,0,0,1,1
